id,description,calories,protein_grams_per_hundred,carbs_grams_per_hundred,fat_grams_per_hundred
11000000,"Milk, human",70,1.03,6.89,4.38
11100000,"Milk, NFS",51,3.34,4.87,1.99
11111000,"Milk, whole",60,3.28,4.67,3.2
11111100,"Milk, low sodium, whole",61,3.1,4.46,3.46
11111150,"Milk, calcium fortified, whole",60,3.28,4.67,3.2
11111160,"Milk, calcium fortified, low fat (1%)",43,3.38,5.19,0.95
11111170,"Milk, calcium fortified, fat free (skim)",35,3.4,4.85,0.18
11112110,"Milk, reduced fat (2%)",50,3.35,4.91,1.9
11112120,"Milk, acidophilus, low fat (1%)",43,3.38,5.19,0.95
11112130,"Milk, acidophilus, reduced fat (2%)",50,3.35,4.91,1.9
11112210,"Milk, low fat (1%)",43,3.38,5.19,0.95
11113000,"Milk, fat free (skim)",34,3.43,4.89,0.08
11114300,"Milk, lactose free, low fat (1%)",43,3.38,5.19,0.95
11114320,"Milk, lactose free, fat free (skim)",34,3.43,4.89,0.08
11114330,"Milk, lactose free, reduced fat (2%)",50,3.35,4.91,1.9
11114350,"Milk, lactose free, whole",60,3.28,4.67,3.2
11115000,"Buttermilk, fat free (skim)",40,3.31,4.79,1.07
11115100,"Buttermilk, low fat (1%)",40,3.31,4.79,1.07
11115200,"Buttermilk, reduced fat (2%)",56,4.1,5.3,2
11115300,"Buttermilk, whole",62,3.21,4.88,3.31
11115400,"Kefir, NS as to fat content",52,3.59,7.48,0.96
11116000,"Goat's milk, whole",69,3.56,4.45,4.14
11120000,"Milk, dry, reconstituted, NS as to fat content",32,3.2,4.6,0.07
11121100,"Milk, dry, reconstituted, whole",76,4.01,5.86,4.08
11121210,"Milk, dry, reconstituted, low fat (1%)",40,3.17,4.55,1.01
11121300,"Milk, dry, reconstituted, fat free (skim)",32,3.2,4.6,0.07
11210050,"Milk, evaporated, NS as to fat content",134,6.81,10.04,7.56
11211050,"Milk, evaporated, whole",134,6.81,10.04,7.56
11211400,"Milk, evaporated, reduced fat (2%)",92,7.42,11.15,1.96
11212050,"Milk, evaporated, fat free (skim)",78,7.55,11.35,0.2
11220000,"Milk, condensed, sweetened",321,7.91,54.4,8.7
11300100,"Non-dairy milk, NFS",29,1.04,3.75,1.17
11320000,Soy milk,43,2.6,4.92,1.47
11320100,"Soy milk, light",30,2.38,3.51,0.77
11320200,"Soy milk, nonfat",28,2.47,4.14,0.04
11321000,"Soy milk, chocolate",63,2.26,9.95,1.53
11321100,"Soy milk, light, chocolate",47,2.1,8.24,0.64
11321200,"Soy milk, nonfat, chocolate",47,2.1,8.24,0.64
11350000,"Almond milk, sweetened",30,0.38,5.24,0.93
11350010,"Almond milk, sweetened, chocolate",41,0.43,8.34,0.95
11350020,"Almond milk, unsweetened",15,0.4,1.31,0.96
11350030,"Almond milk, unsweetened, chocolate",16,0.46,1.48,1
11360000,Rice milk,47,0.28,9.17,0.97
11370000,Coconut milk,31,0.21,2.92,2.08
11400000,"Yogurt, NFS",63,5.25,7.04,1.55
11400010,"Yogurt, Greek, NS as to type of milk or flavor",73,9.95,3.94,1.92
11410000,"Yogurt, NS as to type of milk or flavor",63,5.25,7.04,1.55
11411010,"Yogurt, NS as to type of milk, plain",63,5.25,7.04,1.55
11411100,"Yogurt, whole milk, plain",61,3.47,4.66,3.25
11411200,"Yogurt, low fat milk, plain",63,5.25,7.04,1.55
11411300,"Yogurt, nonfat milk, plain",56,5.73,7.68,0.18
11411390,"Yogurt, Greek, NS as to type of milk, plain",73,9.95,3.94,1.92
11411400,"Yogurt, Greek, whole milk, plain",97,9,3.98,5
11411410,"Yogurt, Greek, low fat milk, plain",73,9.95,3.94,1.92
11411420,"Yogurt, Greek, nonfat milk, plain",61,10.3,3.64,0.37
11430000,"Yogurt, NS as to type of milk, fruit",89,4.66,14.46,1.37
11431000,"Yogurt, whole milk, fruit",87,3.1,12.36,2.87
11432000,"Yogurt, low fat milk, fruit",89,4.66,14.46,1.37
11433000,"Yogurt, nonfat milk, fruit",83,5.09,15.02,0.17
11433990,"Yogurt, Greek, NS as to type of milk, fruit",105,8.17,12.29,2.57
11434000,"Yogurt, Greek, whole milk, fruit",106,7.33,12.29,3
11434010,"Yogurt, Greek, low fat milk, fruit",105,8.17,12.29,2.57
11434020,"Yogurt, Greek, nonfat milk, fruit",83,8.06,12.2,0.15
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",73,5.09,9.82,1.51
11434100,"Yogurt, whole milk, flavors other than fruit",77,3.3,9.41,3.1
11434200,"Yogurt, low fat milk, flavors other than fruit",73,5.09,9.82,1.51
11434300,"Yogurt, nonfat milk, flavors other than fruit",66,5.56,10.44,0.18
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",95,8.64,9.54,2.5
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",111,8.47,9.35,4.44
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",95,8.64,9.54,2.5
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",78,8.64,10.37,0.18
11435100,"Yogurt, Greek, with oats",160,8.9,22.38,4.29
11436000,"Yogurt, liquid",72,3.71,11.81,1.09
11440010,"Chipotle dip, yogurt based",189,7.93,3.33,15.99
11440020,"Dill dip, yogurt based",191,8.16,3.76,16.03
11440030,"Onion dip, yogurt based",159,6.82,4.07,12.88
11440040,"Ranch dip, yogurt based",195,8.48,4.13,16.09
11440050,"Spinach dip, yogurt based",158,7.02,3.6,12.94
11440060,Tzatziki dip,92,5.35,3.95,6.31
11440070,"Vegetable dip, yogurt based",191,8.16,3.76,16.03
11446000,"Yogurt parfait, low fat, with fruit",84,3.36,15.86,1.01
11459990,"Frozen yogurt, NFS",127,3,21.6,3.6
11460000,"Frozen yogurt, vanilla",127,3,21.6,3.6
11460100,"Frozen yogurt, chocolate",131,3,21.6,3.6
11460500,"Frozen yogurt, soft serve, vanilla",159,4,24.2,5.6
11460510,"Frozen yogurt, soft serve, chocolate",160,4.31,24.87,5.76
11461200,Frozen yogurt sandwich,204,3.9,34.38,6.25
11461210,"Frozen yogurt bar, vanilla",127,3,21.6,3.6
11461220,"Frozen yogurt bar, chocolate",131,3,21.6,3.6
11461250,"Frozen yogurt cone, chocolate",142,3.2,23.9,3.73
11461260,"Frozen yogurt cone, vanilla",139,3.2,23.9,3.73
11461300,"Frozen yogurt cone, vanilla, waffle cone",143,3.29,25.28,3.61
11461320,"Frozen yogurt cone, chocolate, waffle cone",147,3.29,25.28,3.61
11480010,"Yogurt, whole milk, baby food",61,3.47,4.66,3.25
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",98,3.4,13.22,3.53
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",92,3.05,13,3.08
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",98,3.4,13.22,3.53
11511000,"Chocolate milk, NFS",67,3.39,13.46,0
11511100,"Chocolate milk, ready to drink, whole",83,3.17,10.34,3.39
11511200,"Chocolate milk, ready to drink, reduced fat",76,2.99,12.13,1.9
11511300,"Chocolate milk, ready to drink, fat free",67,3.39,13.46,0
11511400,"Chocolate milk, ready to drink, low fat",64,3.46,10.15,1.11
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",57,3.43,7.68,1.04
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)",64,3.46,10.15,1.11
11511610,"Chocolate milk, ready to drink, fat free (Nesquik)",67,3.39,13.46,0
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",64,3.46,10.15,1.11
11512010,"Hot chocolate / Cocoa, ready to drink",91,2.72,16.54,1.54
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",78,2.79,16.52,0.06
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",80,1.21,16.68,0.98
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",103,2.73,15.89,3.18
11512110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",90,2.79,15.87,1.77
11512120,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",92,1.29,16.02,2.64
11513000,"Chocolate milk, made from dry mix, NS as to type of milk",72,3.41,10.13,2.01
11513100,"Chocolate milk, made from dry mix with whole milk",81,3.36,9.94,3.14
11513150,"Chocolate milk, made from dry mix with reduced fat milk",72,3.42,10.16,1.92
11513200,"Chocolate milk, made from dry mix with low fat milk",65,3.45,10.43,1.03
11513300,"Chocolate milk, made from dry mix with fat free milk",57,3.5,10.14,0.22
11513310,"Chocolate milk, made from dry mix with non-dairy milk",59,1.68,10.32,1.27
11513350,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",63,3.59,7.61,2.1
11513355,"Chocolate milk, made from reduced sugar mix with whole milk",73,3.53,7.42,3.26
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk",63,3.6,7.64,2.01
11513365,"Chocolate milk, made from reduced sugar mix with low fat milk",56,3.63,7.91,1.1
11513370,"Chocolate milk, made from reduced sugar mix with fat free milk",48,3.67,7.63,0.27
11513375,"Chocolate milk, made from reduced sugar mix with non-dairy milk",50,1.82,7.81,1.34
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",72,3.41,10.13,2.01
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)",81,3.36,9.94,3.14
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",72,3.42,10.16,1.92
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",65,3.45,10.43,1.03
11513384,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",57,3.5,10.14,0.22
11513385,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",59,1.68,10.32,1.27
11513390,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",63,3.59,7.61,2.1
11513391,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",73,3.53,7.42,3.26
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",63,3.6,7.64,2.01
11513393,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",56,3.63,7.91,1.1
11513394,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",48,3.67,7.63,0.27
11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",50,1.82,7.81,1.34
11513400,"Chocolate milk, made from syrup, NS as to type of milk",80,2.89,13.18,1.73
11513500,"Chocolate milk, made from syrup with whole milk",88,2.84,13,2.77
11513550,"Chocolate milk, made from syrup with reduced fat milk",79,2.9,13.21,1.65
11513600,"Chocolate milk, made from syrup with low fat milk",73,2.93,13.45,0.82
11513700,"Chocolate milk, made from syrup with fat free milk",65,2.97,13.19,0.07
11513750,"Chocolate milk, made from syrup with non-dairy milk",67,1.29,13.36,1.04
11513800,"Chocolate milk, made from light syrup, NS as to type of milk",63,3.1,8.6,1.86
